contig_1	1	287	VFT44920.1	287	286	135621
contig_10	1	28901	EMR50788.1	28901	590	543
contig_100	1	28901	ABX56752.1	28901	590	543
contig_101	1	562	STH45341.1	562	561	543
contig_102	-1	-1		-1	-1	-1
contig_103	1	287	VZR91145.1	287	286	135621
contig_11	1	562	WP_176261540.1	562	561	543
contig_12	1	36087	CDW59045.1	36087	36086	119093
contig_13	1	28901	WP_183062362.1	28901	590	543
contig_14	1	176275	KGQ13423.1	176275	5581	474943
contig_15	1	562	CQR83253.1	562	561	543
contig_16	1	3870	KAF1852898.1	3870	3869	3803
contig_18	-1	-1		-1	-1	-1
contig_19	-1	-1		-1	-1	-1
contig_2	1	287	SPY55031.1	287	286	135621
contig_20	-1	-1		-1	-1	-1
contig_21	1	4639	RWW90275.1	4639	4638	4637
contig_22	1	4932	AJP84052.1	4932	4930	4893
contig_23	1	287	KJJ19153.1	287	286	135621
contig_24	1	287	VFT29763.1	287	286	135621
contig_25	1	562	ENC02238.1	562	561	543
contig_26	1	287	CRX25446.1	287	286	135621
contig_27	1	287	AWQ85984.1	287	286	135621
contig_28	1	287	VFT19730.1	287	286	135621
contig_29	-1	-1		-1	-1	-1
contig_3	1	28901	ESB38699.1	28901	590	543
contig_30	-1	-1		-1	-1	-1
contig_31	-1	-1		-1	-1	-1
contig_32	1	1402	QNT74851.1	1402	1386	186817
contig_33	-1	-1		-1	-1	-1
contig_34	-1	-1		-1	-1	-1
contig_35	-1	-1		-1	-1	-1
contig_36	-1	-1		-1	-1	-1
contig_37	1	287	WP_116844032.1	287	286	135621
contig_39	1	176275	KGQ13423.1	176275	5581	474943
contig_4	1	562	WP_137044203.1	562	561	543
contig_40	1	287	EIE47294.1	287	286	135621
contig_41	1	573	SVJ56660.1	573	570	543
contig_42	-1	-1		-1	-1	-1
contig_43	1	287	CDH80560.1	287	286	135621
contig_44	1	287	WP_137049431.1	287	286	135621
contig_45	1	287	ERV75831.1	287	286	135621
contig_46	-1	-1		-1	-1	-1
contig_47	1	287	ERZ30127.1	287	286	135621
contig_48	1	1351	EFM83227.1	1351	1350	81852
contig_49	1	36087	CDW59262.1	36087	36086	119093
contig_5	1	28901	WP_079961167.1	28901	590	543
contig_50	1	1639	QCJ37960.1	1639	1637	186820
contig_51	1	1280	WP_165628967.1	1280	1279	90964
contig_53	1	176275	KGQ11258.1	176275	5581	474943
contig_54	1	562	EGB59657.1	562	561	543
contig_55	1	176275	KGQ13581.1	176275	5581	474943
contig_56	-1	-1		-1	-1	-1
contig_58	-1	-1		-1	-1	-1
contig_6	-1	-1		-1	-1	-1
contig_60	1	562	WP_176261540.1	562	561	543
contig_61	1	562	WP_137513814.1	562	561	543
contig_62	1	287	WP_034053845.1	287	286	135621
contig_63	1	287	EAZ58302.1	287	286	135621
contig_64	1	287	VDK97965.1	287	286	135621
contig_65	-1	-1		-1	-1	-1
contig_66	1	287	EQM85456.1	287	286	135621
contig_67	1	28901	EHB42899.1	28901	590	543
contig_68	1	562	GDP25326.1	562	561	543
contig_69	1	1280	PPJ84487.1	1280	1279	90964
contig_7	1	28901	WP_023235137.1	28901	590	543
contig_70	1	287	VFT32513.1	287	286	135621
contig_71	1	287	VTQ02762.1	287	286	135621
contig_72	-1	-1		-1	-1	-1
contig_73	1	1010633	CAB3503687.1	1010633	66017	4479
contig_74	-1	-1		-1	-1	-1
contig_75	1	287	VTQ12095.1	287	286	135621
contig_76	1	287	AWE70062.1	287	286	135621
contig_77	1	562	CQR83253.1	562	561	543
contig_78	-1	-1		-1	-1	-1
contig_79	-1	-1		-1	-1	-1
contig_8	1	3870	KAF1853005.1	3870	3869	3803
contig_80	1	287	ERV85686.1	287	286	135621
contig_81	-1	-1		-1	-1	-1
contig_82	1	287	WP_108224183.1	287	286	135621
contig_83	1	287	KJC14680.1	287	286	135621
contig_85	1	287	WP_151896877.1	287	286	135621
contig_86	1	287	VFT62493.1	287	286	135621
contig_87	1	287	VFT40309.1	287	286	135621
contig_88	1	562	WP_088563625.1	562	561	543
contig_89	1	287	VFT55609.1	287	286	135621
contig_9	1	36087	CDW59665.1	36087	36086	119093
contig_90	1	3870	KAF1852898.1	3870	3869	3803
contig_91	1	176275	KGQ13753.1	176275	5581	474943
contig_93	-1	-1		-1	-1	-1
contig_94	1	287	ETV61386.1	287	286	135621
contig_95	1	287	CDI92559.1	287	286	135621
contig_97	1	562	WP_135101043.1	562	561	543
contig_98	1	1280	EZR87903.1	1280	1279	90964
contig_99	1	1280	AYK27770.1	1280	1279	90964
