,taxid,level,total_sequence_length,total_alignment_length,scientific_name,total_bp,proportion_of_subsampled,total_bp_adjusted,proportion_total_bp_adjusted
1,40214,species,0.0,45777,Acinetobacter johnsonii,45777.0,0.00013943761229149085,840307.2931322537,4.9613194082549546e-05
3,694003,species,324332925.0,35665,Betacoronavirus 1,324332925.0,0.987924255619966,5953630038.674798,0.3515126014239898
4,562,species,0.0,12892,Escherichia coli,12892.0,3.926927709683684e-05,236652.50285210944,1.397237254761624e-05
7,1747,species,0.0,8396,Cutibacterium acnes,8396.0,2.5574375620930975e-05,154121.5027882649,9.099599744786376e-06
9,943830,species,0.0,7834,Tardiphaga robiniae,7834.0,2.3862512936442743e-05,143805.12778028433,8.490503144432644e-06
10,2743575,species,0.0,4025,Acinetobacter sp. NEB 394,4025.0,1.226022652146822e-05,73885.0701194338,4.362302164455118e-06
11,1961362,species,0.0,2941,Sphingomonas sp. NIC1,2941.0,8.95834191295355e-06,53986.58166987697,3.187461034947205e-06
13,1891767,species,2811979.0,2610,Macaca mulatta polyomavirus 1,2811979.0,0.008565341494065015,51618202.6309007,0.0030476278454912636
16,1745854,species,0.0,2532,Ancylobacter pratisalsi,2532.0,7.712520137231685e-06,46478.757153392886,2.7441861069317656e-06
18,129951,species,175755.0,2376,Human mastadenovirus C,175755.0,0.0005353530713740738,3226253.540084742,0.00019048358184194016
19,28090,species,0.0,1967,Acinetobacter lwoffii,1967.0,5.991519395708817e-06,36107.312527931994,2.131838101238066e-06
20,2592815,species,0.0,1839,Tardiphaga sp. vice278,1839.0,5.60162896223107e-06,33757.6755154382,1.993111473399493e-06
