taxid,level,total_sequence_length,total_alignment_length
469,genus,0.0,51769
40214,species,0.0,45777
694002,genus,324332925.0,35665
694003,species,324332925.0,35665
562,species,0.0,12892
561,genus,0.0,12892
1395974,genus,0.0,9673
1747,species,0.0,8396
1912216,genus,0.0,8396
943830,species,0.0,7834
2743575,species,0.0,4025
1961362,species,0.0,2941
13687,genus,0.0,2941
1891767,species,2811979.0,2610
1891714,genus,2811979.0,2610
99,genus,0.0,2532
1745854,species,0.0,2532
10509,genus,175755.0,2376
129951,species,175755.0,2376
28090,species,0.0,1967
2592815,species,0.0,1839
